Belkhir|9.4531,34.4814;9.4175,34.4826;9.4035,34.4934;9.4047,34.4996;9.3497,34.5069;9.3351,34.4941;9.3236,34.4992;9.3171,34.4895;9.3174,34.4656;9.3009,34.4555;9.2698,34.4519;9.2535,34.4292;9.2765,34.3807;9.3099,34.3723;9.3013,34.3624;9.3090,34.3415;9.2722,34.3216;9.2023,34.3341;9.1692,34.3176;9.1517,34.2871;9.1570,34.2518;9.1708,34.2231;9.1471,34.2375;9.1607,34.1654;9.2235,34.1718;9.2589,34.1956;9.3184,34.2206;9.3663,34.2219;9.3780,34.2292;9.3814,34.2223;9.4381,34.2104;9.4550,34.2176;9.4703,34.2163;9.4774,34.2272;9.5223,34.2279;9.5444,34.2395;9.5392,34.2516;9.5488,34.2605;9.5519,34.2778;9.5449,34.2935;9.5503,34.3151;9.5385,34.3517;9.5607,34.3695;9.5073,34.3817;9.4887,34.4460;9.4594,34.4640;9.4531,34.4814
Bembla|10.8197,35.6936;10.7995,35.7136;10.7651,35.7037;10.7472,35.7151;10.7199,35.7008;10.7240,35.6945;10.7144,35.6894;10.7121,35.6801;10.7349,35.6504;10.7638,35.6657;10.7594,35.6511;10.7701,35.6538;10.7780,35.6487;10.7956,35.6525;10.8086,35.6709;10.8038,35.6855;10.8197,35.6936
Ben Arous|10.2076,36.7488;10.2325,36.7311;10.2273,36.7442;10.2468,36.7555;10.2202,36.7666;10.2204,36.7587;10.2105,36.7565;10.2076,36.7488
Ben Guerdane|10.7200,33.0980;10.7421,33.1022;10.7585,33.0954;10.8552,33.0890;10.8722,33.0826;10.8976,33.0933;11.0059,33.0790;11.0163,33.0898;11.0363,33.0951;11.0335,33.0535;11.0216,33.0345;11.0379,33.0224;11.0398,32.9964;11.0926,32.9133;11.1153,32.8659;11.1097,32.8150;11.1217,32.7753;11.1267,32.7177;11.0848,32.6756;11.0964,32.6587;11.1445,32.5330;11.2023,32.4081;11.2257,32.3767;11.3255,32.3985;11.3420,32.3876;11.3354,32.3730;11.3087,32.3565;11.2879,32.3522;11.2567,32.3300;11.1812,32.3063;11.1553,32.2499;11.3728,32.3414;11.4621,32.3690;11.5188,32.4002;11.5489,32.4086;11.5725,32.4378;11.5950,32.4545;11.5999,32.5192;11.5517,32.5808;11.5048,32.6066;11.4903,32.6464;11.4779,32.6559;11.4943,32.6957;11.4875,32.7624;11.5014,32.8303;11.4955,32.9179;11.5154,32.9557;11.5187,32.9778;11.5277,32.9862;11.5197,33.0124;11.5270,33.0783;11.5605,33.1401;11.5615,33.1668;11.5242,33.1691;11.4829,33.1824;11.3269,33.2668;11.4423,33.1956;11.4448,33.1894;11.4388,33.1828;11.4452,33.1791;11.4174,33.1772;11.3911,33.1892;11.3704,33.1802;11.2632,33.2061;11.2128,33.2086;11.1856,33.2025;11.1671,33.2215;11.1680,33.2361;11.1595,33.2525;11.1360,33.2678;11.1141,33.2931;11.0574,33.2900;11.0516,33.2993;11.0052,33.3173;10.9897,33.3069;10.9629,33.3221;10.9276,33.3165;10.8020,33.3701;10.7724,33.3743;10.7410,33.3281;10.7353,33.2873;10.7253,33.2731;10.7134,33.2649;10.6551,33.2562;10.6474,33.2327;10.6376,33.2287;10.6326,33.2152;10.5705,33.1720;10.5664,33.1596;10.5235,33.1489;10.5590,33.1122;10.7200,33.0980
Bir Ali Ben Khalifa|10.0598,34.5258;10.0731,34.5225;10.0709,34.5446;10.1177,34.5540;10.1459,34.5759;10.1518,34.5741;10.1807,34.6031;10.1925,34.6068;10.1983,34.6203;10.2271,34.6121;10.2387,34.6153;10.2368,34.6206;10.2535,34.6160;10.2765,34.5818;10.2954,34.5686;10.3422,34.6018;10.3067,34.6341;10.3095,34.6626;10.2950,34.6855;10.3113,34.7001;10.3249,34.6979;10.3031,34.7424;10.3058,34.7584;10.2932,34.7693;10.2672,34.8224;10.2729,34.8337;10.2259,34.8456;10.1942,34.8466;10.1817,34.8363;10.1661,34.8362;10.1354,34.8503;10.0815,34.9459;10.0969,34.9736;10.1103,34.9811;10.0636,35.0033;10.0291,34.9487;10.0087,34.8971;9.9786,34.8722;9.9546,34.8310;9.9607,34.8281;9.9414,34.7779;9.9393,34.7561;9.9131,34.7512;9.9182,34.7206;9.8994,34.6795;9.9085,34.6653;9.8895,34.6626;9.8793,34.6437;9.9011,34.6327;9.8728,34.6073;9.8825,34.5925;9.9005,34.5981;9.9706,34.5675;9.9812,34.5474;9.9694,34.5381;10.0226,34.5352;10.0598,34.5258
Bir El Hafey|9.2696,35.0202;9.2386,35.0227;9.2043,35.0089;9.1798,35.0133;9.1505,34.9944;9.1221,34.9954;9.1003,34.9460;9.1038,34.9326;9.1178,34.9294;9.1197,34.9082;9.1297,34.9042;9.1969,34.8926;9.2325,34.8975;9.2247,34.8912;9.2345,34.8798;9.2166,34.8636;9.2175,34.8350;9.2437,34.8380;9.2761,34.8034;9.2891,34.7512;9.3176,34.7211;9.3311,34.7203;9.4223,34.7604;9.4042,34.7795;9.4060,34.8143;9.3947,34.8456;9.3273,34.8832;9.3342,34.9087;9.3860,34.9236;9.3955,34.9326;9.3683,34.9611;9.3611,35.0020;9.3343,35.0287;9.3246,35.0200;9.3005,35.0140;9.2696,35.0202
Bir Lahmar|10.4457,33.2071;10.4010,33.1919;10.3663,33.1682;10.3417,33.1664;10.3538,33.1365;10.3342,33.1303;10.3484,33.1085;10.3322,33.1031;10.3344,33.0696;10.3402,33.0614;10.3717,33.0739;10.4101,33.0681;10.4193,33.0915;10.4963,33.1044;10.5326,33.1383;10.5261,33.1515;10.5471,33.1511;10.5664,33.1596;10.5705,33.1720;10.6091,33.1970;10.6139,33.2037;10.4906,33.2147;10.4908,33.2348;10.4457,33.2071
Bir Mcherga|10.1399,36.6008;10.1030,36.5826;10.0902,36.5962;10.0435,36.6196;10.0353,36.6399;10.0238,36.6489;10.0289,36.6544;10.0175,36.6628;9.9808,36.6175;9.9498,36.6070;9.9356,36.5847;9.9025,36.5530;9.8888,36.5726;9.8640,36.5750;9.8387,36.5666;9.8240,36.5302;9.7971,36.5236;9.7840,36.5110;9.7756,36.4873;9.7594,36.4888;9.7517,36.4780;9.7329,36.4696;9.7397,36.4657;9.7355,36.4616;9.7392,36.4507;9.7543,36.4424;9.7855,36.4746;9.8109,36.4843;9.8432,36.4719;9.8671,36.4486;9.8859,36.4457;9.8981,36.4346;9.9179,36.4441;9.9135,36.4566;9.9320,36.4727;9.9459,36.4672;9.9443,36.4589;9.9573,36.4595;9.9564,36.4445;9.9710,36.4264;9.9595,36.4173;9.9442,36.4237;9.9340,36.4127;9.9394,36.3969;9.9494,36.3933;9.9744,36.4052;10.0050,36.4021;10.0128,36.4099;10.0493,36.4093;10.0674,36.4379;10.0631,36.4486;10.0826,36.4847;10.1415,36.4813;10.1762,36.4992;10.1929,36.5191;10.1651,36.5326;10.1642,36.5475;10.1524,36.5472;10.1511,36.5696;10.1453,36.5666;10.1432,36.5790;10.1477,36.5926;10.1453,36.6017;10.1399,36.6008
Bizerte Nord|9.8537,37.2636;9.8809,37.2724;9.8760,37.2786;9.8908,37.2783;9.8760,37.2874;9.8632,37.3343;9.8429,37.3331;9.8371,37.3387;9.7981,37.3272;9.7704,37.3316;9.7579,37.3211;9.7681,37.3028;9.7995,37.2983;9.8018,37.2919;9.8197,37.2927;9.8367,37.2856;9.8350,37.2796;9.8552,37.2784;9.8537,37.2636|8.8986,37.5191;8.9122,37.5137;8.9383,37.5242;8.9511,37.5164;8.9587,37.5272;8.9414,37.5420;8.9360,37.5324;8.9115,37.5300;8.8986,37.5191
Bizerte Sud|9.7829,37.2185;9.7989,37.2179;9.8099,37.2338;9.7996,37.2374;9.7829,37.2185|9.6117,37.1742;9.6145,37.1673;9.6186,37.1745;9.6146,37.1847;9.6346,37.1845;9.6370,37.1967;9.6545,37.2022;9.6800,37.1844;9.7099,37.1827;9.7524,37.1690;9.7665,37.1722;9.7755,37.1790;9.7729,37.1843;9.7819,37.1861;9.7875,37.2016;9.7858,37.2095;9.7848,37.2024;9.7761,37.2029;9.7750,37.2137;9.7676,37.2174;9.7706,37.2235;9.7805,37.2188;9.7772,37.2394;9.7919,37.2360;9.8135,37.2445;9.8241,37.2372;9.8193,37.2448;9.8593,37.2572;9.8503,37.2611;9.8569,37.2668;9.8552,37.2784;9.8350,37.2796;9.8367,37.2856;9.8197,37.2927;9.8018,37.2919;9.7995,37.2983;9.7681,37.3028;9.7579,37.3211;9.7704,37.3316;9.7602,37.3364;9.7558,37.3470;9.7035,37.3342;9.6695,37.3407;9.5887,37.2964;9.5735,37.2945;9.5608,37.3059;9.5360,37.2998;9.4742,37.2683;9.4807,37.2214;9.5020,37.2063;9.5073,37.1947;9.5262,37.2050;9.5367,37.1980;9.5528,37.2033;9.5843,37.1874;9.6073,37.1832;9.6117,37.1742
Borj El Amri|9.8072,36.6415;9.8163,36.6293;9.8101,36.6218;9.8174,36.6077;9.8478,36.6089;9.8614,36.5874;9.8837,36.5904;9.8940,36.6057;9.8937,36.6184;9.9287,36.6464;9.9075,36.6829;9.8864,36.6969;9.9155,36.7055;9.9003,36.7113;9.9247,36.7264;9.9010,36.7649;9.8790,36.7635;9.8760,36.7498;9.8404,36.7410;9.7968,36.7476;9.7685,36.7216;9.7880,36.7100;9.7757,36.6855;9.7988,36.6653;9.7967,36.6527;9.7854,36.6466;9.7969,36.6351;9.8072,36.6415
Bou Arada|9.4828,36.2473;9.4801,36.2397;9.5022,36.1998;9.5314,36.1773;9.6017,36.1843;9.6481,36.2150;9.6494,36.2243;9.5977,36.2501;9.5955,36.2605;9.6182,36.2675;9.6367,36.2886;9.6714,36.2895;9.7240,36.3147;9.7166,36.3338;9.7344,36.3498;9.7546,36.3564;9.7579,36.3864;9.7510,36.4074;9.7610,36.4102;9.7500,36.4289;9.7543,36.4424;9.7392,36.4507;9.7113,36.4404;9.6982,36.4461;9.6556,36.4273;9.6525,36.4109;9.6290,36.4261;9.5762,36.4266;9.5785,36.4188;9.5620,36.4089;9.5494,36.3828;9.5317,36.3719;9.5527,36.3715;9.5713,36.3501;9.5949,36.3420;9.5757,36.3341;9.5713,36.3233;9.5574,36.3151;9.5467,36.3194;9.5229,36.2957;9.5372,36.2801;9.5506,36.2777;9.5244,36.2656;9.5105,36.2439;9.4935,36.2517;9.4901,36.2618;9.4924,36.2566;9.4828,36.2473
Bou Argoub|10.6486,36.5204;10.6222,36.5444;10.6623,36.5718;10.6440,36.5923;10.6293,36.5906;10.6145,36.5972;10.5866,36.5781;10.5680,36.5825;10.5514,36.5773;10.5490,36.5668;10.5219,36.5467;10.4928,36.5410;10.5003,36.5233;10.4879,36.5093;10.5157,36.4915;10.5344,36.4974;10.5385,36.4840;10.5486,36.4773;10.5786,36.4916;10.5830,36.4791;10.5707,36.4589;10.5902,36.4702;10.6008,36.4601;10.6237,36.4612;10.6149,36.4649;10.6108,36.4765;10.6336,36.4968;10.6430,36.5244;10.6486,36.5204
Bou Salem|9.0204,36.6592;9.0097,36.6596;9.0044,36.6258;8.9751,36.6114;8.9610,36.6105;8.9574,36.6182;8.9242,36.6141;8.9277,36.6219;8.9216,36.6272;8.9331,36.6325;8.9201,36.6330;8.9194,36.6413;8.8376,36.6082;8.8458,36.5944;8.8626,36.5883;8.8698,36.5782;8.8971,36.5717;8.8930,36.5576;8.9018,36.5394;8.8930,36.5350;8.8976,36.5061;8.9231,36.4883;8.9397,36.4534;8.9982,36.4653;9.0367,36.4651;9.0406,36.4602;9.0520,36.4768;9.0438,36.4909;9.0507,36.5021;9.0431,36.5055;9.0664,36.5262;9.0753,36.5265;9.0675,36.5406;9.0768,36.5508;9.0676,36.5817;9.0759,36.5982;9.0613,36.6063;9.0426,36.6395;9.0311,36.6436;9.0204,36.6592
Bouficha|10.4601,36.1710;10.4682,36.1703;10.4782,36.2322;10.5061,36.3081;10.4963,36.3130;10.4962,36.3241;10.5319,36.3704;10.5065,36.3918;10.4747,36.3535;10.4546,36.3679;10.4258,36.3770;10.3673,36.3829;10.3669,36.3659;10.3753,36.3591;10.3667,36.3509;10.3676,36.3393;10.3815,36.3074;10.3909,36.3034;10.3729,36.2801;10.3570,36.2817;10.3620,36.2721;10.3892,36.2640;10.3807,36.2562;10.3779,36.2358;10.3628,36.2302;10.3475,36.2370;10.3378,36.2258;10.3218,36.2221;10.3150,36.2131;10.3185,36.1914;10.3319,36.1753;10.3451,36.1711;10.3483,36.1635;10.3580,36.1655;10.3633,36.1576;10.3751,36.1586;10.3733,36.1854;10.3848,36.1907;10.4601,36.1710
Bouhajla|9.9070,35.4502;9.8871,35.4159;9.9139,35.4100;9.8982,35.4009;9.9010,35.3884;9.9112,35.3932;9.9121,35.3607;9.9266,35.3391;9.9230,35.3302;9.9305,35.3179;9.9398,35.3149;9.9237,35.2901;9.9287,35.2841;9.9599,35.2727;9.9650,35.2819;9.9931,35.2824;10.0032,35.2759;10.0146,35.2520;10.0305,35.2520;10.0301,35.2589;10.0422,35.2524;10.0391,35.2379;10.0316,35.2371;10.0346,35.2119;10.0590,35.1975;10.0717,35.2138;10.0708,35.2338;10.0876,35.2414;10.0962,35.2424;10.1487,35.2034;10.1705,35.2193;10.1806,35.2156;10.2037,35.2206;10.1744,35.2666;10.2051,35.3205;10.1921,35.3353;10.1672,35.3453;10.1606,35.3570;10.1764,35.3876;10.1820,35.4215;10.1936,35.4329;10.2139,35.4361;10.2250,35.4566;10.2198,35.4716;10.2111,35.4670;10.1820,35.4765;10.1931,35.4941;10.1855,35.4997;10.1803,35.4966;10.1709,35.5097;10.1627,35.5670;10.1334,35.5443;10.1411,35.5135;10.0962,35.5018;10.0952,35.5077;10.0681,35.5039;10.0675,35.4947;10.0495,35.4909;10.0198,35.4868;10.0152,35.4939;9.9988,35.4783;9.9804,35.4728;9.9640,35.4440;9.9450,35.4559;9.9344,35.4483;9.9070,35.4502
Boumerdès|10.7952,35.3786;10.7987,35.3879;10.8224,35.3978;10.8264,35.4098;10.8503,35.4182;10.8514,35.4392;10.8259,35.4353;10.8252,35.4302;10.8153,35.4332;10.8085,35.4230;10.7813,35.4272;10.7816,35.4348;10.7597,35.4498;10.7536,35.4637;10.7309,35.4745;10.7355,35.4874;10.7180,35.4893;10.7121,35.4752;10.6979,35.4795;10.6974,35.4735;10.6837,35.4716;10.6842,35.4775;10.6723,35.4847;10.6610,35.4773;10.6402,35.4859;10.6381,35.5002;10.6211,35.4856;10.6124,35.4657;10.5716,35.4486;10.5746,35.4369;10.5676,35.4195;10.5850,35.4137;10.5890,35.4302;10.5984,35.4195;10.6178,35.4169;10.6192,35.3932;10.6273,35.3978;10.6346,35.3849;10.6567,35.3836;10.6662,35.3752;10.6767,35.3482;10.7122,35.3664;10.7163,35.3832;10.7502,35.3909;10.7441,35.4042;10.7310,35.4096;10.7599,35.4129;10.7713,35.4013;10.7799,35.4023;10.7952,35.3786
Boumhel El Bassatine|10.3203,36.7006;10.3166,36.7336;10.2747,36.7409;10.2565,36.7360;10.2532,36.7250;10.2642,36.7148;10.2827,36.7119;10.2902,36.6901;10.3203,36.7006
Béja Nord|9.3464,36.6984;9.3417,36.7078;9.3674,36.7249;9.3759,36.7468;9.3525,36.7556;9.3449,36.7669;9.3573,36.7845;9.3599,36.8075;9.3795,36.8337;9.3899,36.8381;9.3845,36.8494;9.3277,36.8856;9.3127,36.8715;9.2972,36.8811;9.2939,36.8923;9.2678,36.8951;9.2206,36.9220;9.2156,36.9161;9.1808,36.9182;9.1699,36.9038;9.1428,36.8908;9.1487,36.8819;9.1626,36.8818;9.1804,36.8669;9.1523,36.8537;9.1268,36.8275;9.1264,36.7980;9.1326,36.7822;9.1399,36.7799;9.1356,36.7700;9.0818,36.7344;9.0636,36.7133;9.0824,36.6865;9.1386,36.7092;9.1638,36.7260;9.1715,36.7264;9.1761,36.7152;9.1883,36.7269;9.2207,36.7365;9.2607,36.7314;9.2997,36.7043;9.3223,36.7010;9.3364,36.7067;9.3464,36.6984
Béja Sud|9.0204,36.6592;9.0311,36.6436;9.0426,36.6395;9.0689,36.5998;9.0847,36.6012;9.0925,36.5929;9.0967,36.5980;9.1044,36.5696;9.1179,36.5606;9.1290,36.5377;9.1585,36.5420;9.1804,36.5368;9.2000,36.5391;9.2283,36.5666;9.2368,36.5876;9.2503,36.5942;9.2643,36.6142;9.2600,36.6169;9.2658,36.6254;9.2761,36.6189;9.2898,36.6277;9.2981,36.6173;9.3064,36.6355;9.3228,36.6390;9.3296,36.6551;9.3232,36.6666;9.3305,36.6814;9.3487,36.6945;9.3364,36.7067;9.3223,36.7010;9.2997,36.7043;9.2607,36.7314;9.2207,36.7365;9.1883,36.7269;9.1761,36.7152;9.1715,36.7264;9.1638,36.7260;9.1386,36.7092;9.0723,36.6832;9.0444,36.6633;9.0204,36.6592
